dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
biodeg,5,Not_Optimal,10.538298213481903,9,4,0.8071833648393195,0.833648393194707,0.7709923664122137,0.8396946564885496
biodeg,5,Not_Optimal,10.64887478351593,10,4,0.8071833648393195,0.8241965973534972,0.7709923664122137,0.8320610687022901
biodeg,5,Not_Optimal,10.709542878468831,11,4,0.8071833648393195,0.8185255198487713,0.7709923664122137,0.7862595419847328
biodeg,5,Not_Optimal,10.748945351441701,12,4,0.8071833648393195,0.8260869565217391,0.7709923664122137,0.8435114503816794
biodeg,5,Not_Optimal,10.921897697448731,13,4,0.8071833648393195,0.780718336483932,0.7709923664122137,0.7862595419847328
biodeg,5,Not_Optimal,11.536814590295156,14,4,0.8071833648393195,0.8355387523629489,0.7709923664122137,0.8206106870229007
biodeg,5,Not_Optimal,12.541128945350646,15,4,0.8071833648393195,0.7939508506616257,0.7709923664122137,0.7175572519083969
biodeg,5,Not_Optimal,13.079994757970175,16,4,0.8071833648393195,0.7863894139886578,0.7709923664122137,0.7519083969465649
biodeg,5,Not_Optimal,10.276660740375519,5,4,0.7712665406427222,0.831758034026465,0.7824427480916031,0.8320610687022901
biodeg,5,Not_Optimal,10.369377024968465,6,4,0.8015122873345936,0.8374291115311909,0.7824427480916031,0.8320610687022901
biodeg,5,Not_Optimal,10.433089502652486,7,4,0.8015122873345936,0.8355387523629489,0.7824427480916031,0.8282442748091603
biodeg,5,Not_Optimal,10.512532528241476,8,4,0.8015122873345936,0.8374291115311909,0.7824427480916031,0.8473282442748091
