dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
spambase,5,Not_Optimal,10.489174822966257,9,4,0.8455214192990047,0.8528775421895284,0.8498683055311677,0.8446005267778753
spambase,5,Not_Optimal,10.516125965118409,10,4,0.8455214192990047,0.8481176979662484,0.8498683055311677,0.8481123792800702
spambase,5,Not_Optimal,10.661433231830596,11,4,0.8455214192990047,0.8515794028559065,0.8498683055311677,0.8533801580333626
spambase,5,Not_Optimal,10.760754017035167,12,4,0.8494158372998701,0.848983124188663,0.8542581211589113,0.8542581211589113
spambase,5,Not_Optimal,10.968593792120616,13,4,0.8494158372998701,0.8485504110774557,0.8542581211589113,0.8428446005267779
spambase,5,Not_Optimal,10.820252704620362,14,4,0.8494158372998701,0.8299437472955431,0.8542581211589113,0.8086040386303776
spambase,5,Not_Optimal,11.057433791955312,15,4,0.8494158372998701,0.8398961488533102,0.8542581211589113,0.8296751536435469
spambase,5,Not_Optimal,10.914759027957917,16,4,0.8494158372998701,0.8437905668541756,0.8542581211589113,0.835820895522388
spambase,5,Not_Optimal,10.277390078703563,5,4,0.8139333621808741,0.8247511899610558,0.8015803336259877,0.8208955223880597
spambase,5,Not_Optimal,10.292984167734781,6,4,0.8411942881869321,0.8411942881869321,0.8507462686567164,0.8507462686567164
spambase,5,Not_Optimal,10.36192557811737,7,4,0.8411942881869321,0.8463868455214193,0.8507462686567164,0.8525021949078139
spambase,5,Not_Optimal,10.411216835180918,8,4,0.8455214192990047,0.8433578537429685,0.8498683055311677,0.8472344161545216
