dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
spambase,3,Not_Optimal,10.465184954802195,9,4,0.8416270012981394,0.8407615750757248,0.8419666374012291,0.8498683055311677
spambase,3,Not_Optimal,10.657878629366557,10,4,0.8416270012981394,0.8411942881869321,0.8419666374012291,0.8446005267778753
spambase,3,Not_Optimal,10.713130760192872,11,4,0.8416270012981394,0.8390307226308957,0.8419666374012291,0.8314310798946444
spambase,3,Not_Optimal,10.772671659787497,12,4,0.8416270012981394,0.8312418866291649,0.8419666374012291,0.8182616330114135
spambase,3,Not_Optimal,10.885023554166159,13,4,0.8446559930765902,0.8407615750757248,0.8481123792800702,0.845478489903424
spambase,3,Not_Optimal,10.772983296712239,14,4,0.8446559930765902,0.8381652964084811,0.8481123792800702,0.8463564530289728
spambase,3,Not_Optimal,10.95189193089803,15,4,0.8446559930765902,0.8147987884032886,0.8481123792800702,0.7963125548726954
spambase,3,Not_Optimal,11.146415523687999,16,4,0.8446559930765902,0.8481176979662484,0.8481123792800702,0.848990342405619
spambase,3,Not_Optimal,10.243249241511027,5,4,0.8048463868455215,0.8178277801817395,0.8015803336259877,0.8252853380158033
spambase,3,Not_Optimal,10.324072404702504,6,4,0.837732583297274,0.837732583297274,0.8428446005267779,0.8428446005267779
spambase,3,Not_Optimal,10.400604955355327,7,4,0.837732583297274,0.8420597144093466,0.8428446005267779,0.8419666374012291
spambase,3,Not_Optimal,10.503534384568532,8,4,0.8416270012981394,0.8385980095196884,0.8419666374012291,0.8402107111501317
