dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
monk3,1,Not_Optimal,10.018150806427002,9,4,0.9382716049382716,0.9753086419753086,0.975609756097561,0.9024390243902439
monk3,1,Not_Optimal,10.019760835170747,10,4,0.9382716049382716,0.9876543209876543,0.975609756097561,0.8536585365853658
monk3,1,Not_Optimal,10.022865410645803,11,4,0.9382716049382716,0.9753086419753086,0.975609756097561,0.8536585365853658
monk3,1,Not_Optimal,10.044650010267894,12,4,0.9382716049382716,0.9876543209876543,0.975609756097561,0.926829268292683
monk3,1,Not_Optimal,10.029291701316833,13,4,0.9382716049382716,0.9876543209876543,0.975609756097561,0.7804878048780488
monk3,1,Not_Optimal,10.057219044367473,14,4,0.9382716049382716,0.9876543209876543,0.975609756097561,0.9024390243902439
monk3,1,Not_Optimal,10.032444910208385,15,4,0.9382716049382716,0.9753086419753086,0.975609756097561,0.926829268292683
monk3,1,Not_Optimal,10.035057099660238,16,4,0.9382716049382716,0.9876543209876543,0.975609756097561,0.7073170731707317
monk3,1,Optimal,1.4952603260676065,5,4,0.9382716049382716,0.9382716049382716,0.975609756097561,0.975609756097561
monk3,1,Not_Optimal,10.010958321889241,6,4,0.9382716049382716,0.9506172839506173,0.975609756097561,0.975609756097561
monk3,1,Not_Optimal,10.013472334543865,7,4,0.9382716049382716,0.9506172839506173,0.975609756097561,0.926829268292683
monk3,1,Not_Optimal,10.014610358079274,8,4,0.9382716049382716,0.9629629629629629,0.975609756097561,0.926829268292683
