dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
wine,1,Optimal,0.20728214184443156,9,4,1.0,1.0,0.8409090909090909,0.9090909090909091
wine,1,Optimal,1.2170395692189535,10,4,1.0,1.0,0.8409090909090909,0.8863636363636364
wine,1,Optimal,3.2585803230603534,11,4,1.0,1.0,0.8409090909090909,0.9090909090909091
wine,1,Optimal,4.118999922275544,12,4,1.0,1.0,0.8409090909090909,0.9090909090909091
wine,1,Optimal,3.3857014656066893,13,4,1.0,1.0,0.8409090909090909,0.8636363636363636
wine,1,Optimal,8.79906776746114,14,4,1.0,1.0,0.8409090909090909,0.9318181818181818
wine,1,Optimal,1.1293771902720133,15,4,1.0,1.0,0.8181818181818182,0.9090909090909091
wine,1,Optimal,7.064694015185038,16,4,1.0,1.0,0.8409090909090909,0.9545454545454546
wine,1,Optimal,0.8812268217404683,5,4,0.9213483146067416,0.9775280898876404,0.8636363636363636,0.9090909090909091
wine,1,Optimal,1.882376217842102,6,4,0.9662921348314607,0.9887640449438202,0.8863636363636364,0.8863636363636364
wine,1,Not_Optimal,10.035061005751292,7,4,0.9662921348314607,0.9887640449438202,0.8636363636363636,0.8863636363636364
wine,1,Optimal,0.20151084661483765,8,4,0.9775280898876404,1.0,0.8181818181818182,0.9090909090909091
