depth;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
2;0.1;2.0;0.7852173913043479;0.7862728062554301;0.7527496814727783;0.7454180717468262;NA
3;0.1;2.0;0.7852173913043479;0.7862728062554301;0.7211954593658447;0.7174382209777832;NA
4;0.1;2.0;0.7852173913043479;0.7862728062554301;0.6839945316314697;0.6805562973022461;NA
2;0.05;2.0;0.7852173913043479;0.7862728062554301;0.8088324069976807;0.6716742515563965;NA
3;0.05;2.0;0.7852173913043479;0.7862728062554301;2.0533061027526855;0.67960524559021;NA
4;0.05;2.0;0.7852173913043479;0.7862728062554301;1.469428539276123;0.6338827610015869;NA
2;0.025;2;0.7852173913043479;0.7862728062554301;0.7892863750457764;0.6673858165740967;[(-1,), (1,)]
3;0.025;2;0.7852173913043479;0.7862728062554301;55.36014151573181;0.6519923210144043;[(-1,), (1,)]
4;0.025;2;0.7852173913043479;0.7862728062554301;600.0013537406921;0.6773097515106201;[(-1,), (1,)]
2;0.01;2;0.7852173913043479;0.7862728062554301;0.7403731346130371;0.6243221759796143;[(-1,), (1,)]
3;0.01;6;0.8443478260869566;0.8340573414422241;600.000034570694;471.10819840431213;[(-2, -1), (1, 6), (-5, -1, 2), (-1, 2, 5), (-13, -6, 1), (-6, 1, 13)]
4;0.01;4;0.8185507246376812;0.8132059079061685;600.0000331401825;2.574799060821533;[(1,), (-2, -1), (-5, -1, 2), (-1, 2, 5)]
2;0.005;2;0.7852173913043479;0.7862728062554301;0.3522980213165283;0.29762721061706543;[(-1,), (1,)]
3;0.005;6;0.8443478260869566;0.8340573414422241;600.0000381469727;155.71770477294922;[(-2, -1), (1, 6), (-5, -1, 2), (-1, 2, 5), (-13, -6, 1), (-6, 1, 13)]
4;0.005;7.0;0.835072463768116;0.8297132927888793;600.0000512599945;0.7192707061767578;NA
2;0.0025;2;0.7852173913043479;0.7862728062554301;0.7932448387145996;0.664726972579956;[(-1,), (1,)]
3;0.0025;6;0.8443478260869566;0.8340573414422241;600.000022649765;275.7422113418579;[(-2, -1), (1, 6), (-5, -1, 2), (-1, 2, 5), (-13, -6, 1), (-6, 1, 13)]
4;0.0025;10.0;0.8428985507246377;0.8305821025195482;600.0000557899475;0.28545522689819336;NA
