depth;lamb;nleaves;trainaccu_CART;testaccu_CART
2;0.1;1.0;0.9344685242518059;0.93343653250774
3;0.1;1.0;0.9344685242518059;0.93343653250774
4;0.1;1.0;0.9344685242518059;0.93343653250774
2;0.05;1.0;0.9344685242518059;0.93343653250774
3;0.05;1.0;0.9344685242518059;0.93343653250774
4;0.05;1.0;0.9344685242518059;0.93343653250774
2;0.025;1.0;0.9344685242518059;0.93343653250774
3;0.025;1.0;0.9344685242518059;0.93343653250774
4;0.025;1.0;0.9344685242518059;0.93343653250774
2;0.01;1.0;0.9344685242518059;0.93343653250774
3;0.01;1.0;0.9344685242518059;0.93343653250774
4;0.01;1.0;0.9344685242518059;0.93343653250774
2;0.005;1.0;0.9344685242518059;0.93343653250774
3;0.005;1.0;0.9344685242518059;0.93343653250774
4;0.005;1.0;0.9344685242518059;0.93343653250774
2;0.0025;2.0;0.9344685242518059;0.93343653250774
3;0.0025;2.0;0.9344685242518059;0.93343653250774
4;0.0025;2.0;0.9344685242518059;0.93343653250774
