depth;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
2;0.1;1.0;0.9344685242518059;0.93343653250774;0.47190165519714355;0.4718749523162842;NA
3;0.1;1.0;0.9344685242518059;0.93343653250774;0.4717721939086914;0.47174668312072754;NA
4;0.1;1.0;0.9344685242518059;0.93343653250774;0.46606993675231934;0.4660465717315674;NA
2;0.05;1.0;0.9344685242518059;0.93343653250774;0.49904561042785645;0.4990205764770508;NA
3;0.05;1.0;0.9344685242518059;0.93343653250774;0.493349552154541;0.49332380294799805;NA
4;0.05;1.0;0.9344685242518059;0.93343653250774;0.5152199268341064;0.5151932239532471;NA
2;0.025;1.0;0.9344685242518059;0.93343653250774;0.478626012802124;0.4785947799682617;NA
3;0.025;1.0;0.9344685242518059;0.93343653250774;0.4881598949432373;0.48813509941101074;NA
4;0.025;1.0;0.9344685242518059;0.93343653250774;0.48743247985839844;0.4874000549316406;NA
2;0.01;1.0;0.9344685242518059;0.93343653250774;0.47426652908325195;0.4742319583892822;NA
3;0.01;1.0;0.9344685242518059;0.93343653250774;0.5022952556610107;0.5022594928741455;NA
4;0.01;1.0;0.9344685242518059;0.93343653250774;0.508495569229126;0.5084643363952637;NA
2;0.005;1.0;0.9344685242518059;0.93343653250774;0.47676658630371094;0.4672739505767822;NA
3;0.005;1.0;0.9344685242518059;0.93343653250774;0.45816636085510254;0.4486079216003418;NA
4;0.005;1.0;0.9344685242518059;0.93343653250774;0.5003466606140137;0.49027061462402344;NA
2;0.0025;2;0.934468524251806;0.93343653250774;1.2930986881256104;0.4759540557861328;[(-1,), (1,)]
3;0.0025;2;0.934468524251806;0.93343653250774;19.16216802597046;0.5369405746459961;[(-1,), (1,)]
4;0.0025;2;0.934468524251806;0.93343653250774;64.85990810394287;0.4662363529205322;[(-1,), (1,)]
