depth;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
2;0.1;1.0;0.6532033426183844;0.6541666666666667;0.345139741897583;0.3370790481567383;NA
3;0.1;1.0;0.6532033426183844;0.6541666666666667;0.29011988639831543;0.2829158306121826;NA
4;0.1;1.0;0.6532033426183844;0.6541666666666667;0.3110952377319336;0.3016538619995117;NA
2;0.05;1.0;0.6532033426183844;0.6541666666666667;1.0473682880401611;0.3096914291381836;NA
3;0.05;1.0;0.6532033426183844;0.6541666666666667;13.654070377349854;0.2910468578338623;NA
4;0.05;1.0;0.6532033426183844;0.6541666666666667;44.00339221954346;0.2749934196472168;NA
2;0.025;2.0;0.6866295264623955;0.7375;1.2295286655426025;0.28844547271728516;NA
3;0.025;4;0.7506963788300836;0.7458333333333333;600.0001294612885;0.952040433883667;[(2,), (-2, 7), (-11, -7, -2), (-7, -2, 11)]
4;0.025;4;0.7506963788300836;0.7458333333333333;600.0000231266022;2.1016957759857178;[(2,), (-2, 7), (-11, -7, -2), (-7, -2, 11)]
2;0.01;3;0.7047353760445683;0.7083333333333334;1.2975232601165771;0.3146069049835205;[(-1,), (-7, 1), (1, 7)]
3;0.01;5;0.7674094707520891;0.7333333333333333;600.0000619888306;0.40607285499572754;[(2,), (-12, -9, -2), (-12, -2, 9), (-3, -2, 12), (-2, 3, 12)]
4;0.01;7;0.8147632311977716;0.7875;600.0000910758972;96.21930050849915;[(2,), (-12, -9, -2), (-12, -2, 9), (-13, -11, -2, 12), (-13, -2, 11, 12), (-7, -2, 12, 13), (-2, 7, 12, 13)]
2;0.005;3;0.7047353760445683;0.7083333333333334;1.26981520652771;0.3037998676300049;[(-1,), (-7, 1), (1, 7)]
3;0.005;5;0.7674094707520891;0.7333333333333333;600.0000779628754;0.4375576972961426;[(2,), (-12, -9, -2), (-12, -2, 9), (-3, -2, 12), (-2, 3, 12)]
4;0.005;7;0.8147632311977716;0.7875;600.0000219345093;127.03637456893921;[(2,), (-12, -9, -2), (-12, -2, 9), (-13, -11, -2, 12), (-13, -2, 11, 12), (-7, -2, 12, 13), (-2, 7, 12, 13)]
2;0.0025;3;0.7047353760445683;0.7083333333333334;0.5482914447784424;0.15468358993530273;[(-1,), (-7, 1), (1, 7)]
3;0.0025;5;0.7674094707520891;0.7333333333333333;600.0000908374786;0.21321988105773926;[(2,), (-12, -9, -2), (-12, -2, 9), (-3, -2, 12), (-2, 3, 12)]
4;0.0025;7;0.8147632311977716;0.7875;600.0000495910645;171.26700711250305;[(2,), (-12, -9, -2), (-12, -2, 9), (-13, -11, -2, 12), (-13, -2, 11, 12), (-7, -2, 12, 13), (-2, 7, 12, 13)]
