dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
mammographic_masses,1,0.1,0.00035098791122436526,3,2,0.8197115384615385,0.8300970873786407
mammographic_masses,1,0.05,0.0005335807800292969,3,2,0.8197115384615384,0.8300970873786407
mammographic_masses,1,0.01,2.5141764799753825,3,4,0.8509615384615384,0.8446601941747572
mammographic_masses,1,0.005,9.490563615163166,3,4,0.8509615384615384,0.8446601941747572
mammographic_masses,1,0.0025,10.00000031789144,3,5,0.8557692307692308,0.8349514563106796
