dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
mammographic_masses,1,0.1,0.00035284757614135743,2,2,0.8197115384615385,0.8300970873786407
mammographic_masses,1,0.05,0.00037544965744018555,2,2,0.8197115384615384,0.8300970873786407
mammographic_masses,1,0.01,0.0015316128730773926,2,3,0.8389423076923077,0.8349514563106796
mammographic_masses,1,0.005,0.0017850637435913087,2,3,0.8389423076923077,0.8349514563106796
mammographic_masses,1,0.0025,0.0020401557286580402,2,3,0.8389423076923077,0.8349514563106796
