dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,5,0.1,0.0030640006065368653,4,1,0.6420454545454545,0.6436781609195402
ionosphere,5,0.05,4.690763354301453,4,3,0.8125,0.8390804597701149
ionosphere,5,0.01,10.000000429153442,4,6,0.8863636363636364,0.8390804597701149
ionosphere,5,0.005,10.00000022649765,4,7,0.8863636363636364,0.8045977011494253
ionosphere,5,0.0025,10.000000460942585,4,8,0.8693181818181819,0.8735632183908046
ionosphere,5,0.1,0.0030369003613789874,4,1,0.6420454545454545,0.6436781609195402
ionosphere,5,0.05,4.607152438163757,4,3,0.8125,0.8390804597701149
ionosphere,5,0.01,10.000000099341074,4,6,0.8863636363636364,0.8390804597701149
ionosphere,5,0.005,10.000000230471294,4,7,0.8863636363636364,0.8045977011494253
ionosphere,5,0.0025,10.000000516573587,4,8,0.8693181818181819,0.8735632183908046
