dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,2,0.1,0.0015612562497456868,2,2,0.7556818181818181,0.7816091954022989
ionosphere,2,0.05,0.21931185722351074,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.01,0.270482611656189,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.005,0.2703428069750468,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.0025,0.2678668220837911,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.1,0.0014811118443806967,2,2,0.7556818181818181,0.7816091954022989
ionosphere,2,0.05,0.22386373281478883,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.01,0.27717445691426595,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.005,0.27483081420262656,2,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.0025,0.2712954839070638,2,4,0.8863636363636364,0.8390804597701149
