dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
mammographic_masses,1,0.1,0.00046095450719197594,4,2,0.8197115384615385,0.8300970873786407
mammographic_masses,1,0.05,0.0005051891009012858,4,2,0.8197115384615384,0.8300970873786407
mammographic_masses,1,0.01,10.000020416577657,4,4,0.8509615384615384,0.8446601941747572
mammographic_masses,1,0.005,10.000000290075938,4,5,0.8581730769230769,0.8592233009708737
mammographic_masses,1,0.0025,10.000000099341074,4,5,0.8581730769230769,0.8592233009708737
