dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,5,0.1,0.003085911273956299,3,1,0.6420454545454545,0.6436781609195402
ionosphere,5,0.05,3.473041522502899,3,3,0.8125,0.8390804597701149
ionosphere,5,0.01,10.000000580151875,3,5,0.8693181818181819,0.8160919540229885
ionosphere,5,0.005,10.000000027815501,3,5,0.8693181818181819,0.8160919540229885
ionosphere,5,0.0025,10.00000071922938,3,5,0.8693181818181819,0.8160919540229885
ionosphere,5,0.1,0.0031828840573628744,3,1,0.6420454545454545,0.6436781609195402
ionosphere,5,0.05,3.599862603346507,3,3,0.8125,0.8390804597701149
ionosphere,5,0.01,10.0000004529953,3,5,0.8693181818181819,0.8160919540229885
ionosphere,5,0.005,10.00000053246816,3,5,0.8693181818181819,0.8160919540229885
ionosphere,5,0.0025,10.000000361601511,3,5,0.8693181818181819,0.8160919540229885
