dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,4,0.1,0.00218044916788737,2,1,0.6420454545454545,0.6436781609195402
ionosphere,4,0.05,0.2127392570177714,2,3,0.8125,0.7816091954022989
ionosphere,4,0.01,0.2654196699460348,2,4,0.8579545454545454,0.8275862068965517
ionosphere,4,0.005,0.26300849119822184,2,4,0.8579545454545454,0.8275862068965517
ionosphere,4,0.0025,0.2674160679181417,2,4,0.8579545454545454,0.8275862068965517
ionosphere,4,0.1,0.0018874168395996093,2,1,0.6420454545454545,0.6436781609195402
ionosphere,4,0.05,0.22550891637802123,2,3,0.8125,0.7816091954022989
ionosphere,4,0.01,0.27547874053319293,2,4,0.8579545454545454,0.8275862068965517
ionosphere,4,0.005,0.2783440550168355,2,4,0.8579545454545454,0.8275862068965517
ionosphere,4,0.0025,0.2799044132232666,2,4,0.8579545454545454,0.8275862068965517
