dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,3,0.1,0.001354054609934489,2,2,0.7897727272727273,0.735632183908046
ionosphere,3,0.05,0.2068248987197876,2,3,0.8522727272727273,0.7241379310344828
ionosphere,3,0.01,0.26558227141698204,2,4,0.8920454545454546,0.7701149425287356
ionosphere,3,0.005,0.26724470853805543,2,4,0.8920454545454546,0.7701149425287356
ionosphere,3,0.0025,0.2724068522453308,2,4,0.8920454545454546,0.7701149425287356
ionosphere,3,0.1,0.0012827793757120769,2,2,0.7897727272727273,0.735632183908046
ionosphere,3,0.05,0.21584266821543377,2,3,0.8522727272727273,0.7241379310344828
ionosphere,3,0.01,0.2757387717564901,2,4,0.8920454545454546,0.7701149425287356
ionosphere,3,0.005,0.2728988528251648,2,4,0.8920454545454546,0.7701149425287356
ionosphere,3,0.0025,0.2780792355537415,2,4,0.8920454545454546,0.7701149425287356
