dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,4,0.1,0.0037243127822875976,4,1,0.6420454545454545,0.6436781609195402
ionosphere,4,0.05,4.814373211065928,4,3,0.8125,0.7816091954022989
ionosphere,4,0.01,10.000000313917797,4,5,0.8863636363636364,0.8735632183908046
ionosphere,4,0.005,10.000001017252604,4,7,0.9147727272727273,0.9310344827586207
ionosphere,4,0.0025,10.000000711282095,4,7,0.9147727272727273,0.896551724137931
ionosphere,4,0.1,0.0037166357040405275,4,1,0.6420454545454545,0.6436781609195402
ionosphere,4,0.05,4.809877177079518,4,3,0.8125,0.7816091954022989
ionosphere,4,0.01,10.000000353654226,4,5,0.8863636363636364,0.8735632183908046
ionosphere,4,0.005,10.000000862280528,4,7,0.9147727272727273,0.9310344827586207
ionosphere,4,0.0025,10.000000357627869,4,7,0.9147727272727273,0.896551724137931
