dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,2,0.1,0.0022339820861816406,4,2,0.7556818181818181,0.7816091954022989
ionosphere,2,0.05,4.711329317092895,4,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.01,10.000000882148743,4,8,0.9147727272727273,0.8735632183908046
ionosphere,2,0.005,10.000001112620035,4,8,0.9147727272727273,0.8620689655172413
ionosphere,2,0.0025,10.000000981489817,4,8,0.9147727272727273,0.896551724137931
ionosphere,2,0.1,0.002239827315012614,4,2,0.7556818181818181,0.7816091954022989
ionosphere,2,0.05,4.781977319717408,4,4,0.8863636363636364,0.8390804597701149
ionosphere,2,0.01,10.000000953674316,4,8,0.9147727272727273,0.8735632183908046
ionosphere,2,0.005,10.00000063975652,4,8,0.9147727272727273,0.8620689655172413
ionosphere,2,0.0025,10.000000580151875,4,8,0.9147727272727273,0.896551724137931
