dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
pima_indian_diabetes,2,0.1,0.001331607500712077,3,1,0.6519480519480519,0.6492146596858639
pima_indian_diabetes,2,0.05,0.03488946755727132,3,2,0.7506493506493507,0.7591623036649214
pima_indian_diabetes,2,0.01,10.000000055631002,3,3,0.7636363636363637,0.7853403141361257
pima_indian_diabetes,2,0.005,10.000000389417012,3,4,0.7714285714285714,0.7486910994764397
pima_indian_diabetes,2,0.0025,10.00000031789144,3,7,0.7844155844155845,0.774869109947644
