dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
banknote_authentication,5,0.1,0.0002805908521016439,3,2,0.7924528301886793,0.8088235294117647
banknote_authentication,5,0.05,0.0025112350781758626,3,3,0.8592162554426706,0.9
banknote_authentication,5,0.01,0.9048590103785197,3,7,0.9390420899854862,0.9382352941176471
banknote_authentication,5,0.005,1.1171390771865846,3,7,0.9390420899854862,0.9382352941176471
banknote_authentication,5,0.0025,1.52120547691981,3,7,0.9390420899854862,0.9382352941176471
