dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,1,0.1,0.0036949356396993,4,2,0.75,0.7011494252873564
ionosphere,1,0.05,5.964071357250214,4,4,0.8636363636363636,0.8735632183908046
ionosphere,1,0.01,10.000000270207723,4,7,0.8977272727272727,0.8160919540229885
ionosphere,1,0.005,10.000000166893006,4,8,0.9034090909090909,0.8735632183908046
ionosphere,1,0.0025,10.000000890096029,4,8,0.9034090909090909,0.8735632183908046
ionosphere,1,0.1,0.0034418423970540364,4,2,0.75,0.7011494252873564
ionosphere,1,0.05,5.91491470336914,4,4,0.8636363636363636,0.8735632183908046
ionosphere,1,0.01,10.00000057220459,4,7,0.8977272727272727,0.8160919540229885
ionosphere,1,0.005,10.000001255671183,4,8,0.9034090909090909,0.8735632183908046
ionosphere,1,0.0025,10.000000389417012,4,8,0.9034090909090909,0.8735632183908046
