dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,1,0.1,0.001994125048319499,2,2,0.75,0.7011494252873564
ionosphere,1,0.05,0.22616294225056965,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.01,0.2996362884839376,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.005,0.30958261887232463,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.0025,0.29316370487213134,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.1,0.0019582152366638184,2,2,0.75,0.7011494252873564
ionosphere,1,0.05,0.22326130469640096,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.01,0.2926219383875529,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.005,0.2876870632171631,2,4,0.8636363636363636,0.8620689655172413
ionosphere,1,0.0025,0.2895188609759013,2,4,0.8636363636363636,0.8620689655172413
