dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,5,0.1,0.0017862359682718912,2,1,0.6420454545454545,0.6436781609195402
ionosphere,5,0.05,0.2186854918797811,2,3,0.8125,0.8390804597701149
ionosphere,5,0.01,0.27132018804550173,2,4,0.8522727272727273,0.8160919540229885
ionosphere,5,0.005,0.2516463359196981,2,4,0.8522727272727273,0.8160919540229885
ionosphere,5,0.0025,0.24980218410491944,2,4,0.8522727272727273,0.8160919540229885
ionosphere,5,0.1,0.0018446524937947592,2,1,0.6420454545454545,0.6436781609195402
ionosphere,5,0.05,0.23465022246042888,2,3,0.8125,0.8390804597701149
ionosphere,5,0.01,0.28568145434061687,2,4,0.8522727272727273,0.8160919540229885
ionosphere,5,0.005,0.2825339118639628,2,4,0.8522727272727273,0.8160919540229885
ionosphere,5,0.0025,0.29069828589757285,2,4,0.8522727272727273,0.8160919540229885
