dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
hepatitis,5,0.1,0.0002567092577616374,4,1,0.7922077922077921,0.7948717948717948
hepatitis,5,0.05,0.021964005629221597,4,2,0.8441558441558441,0.7692307692307693
hepatitis,5,0.01,10.00000058412552,4,7,0.961038961038961,0.8205128205128205
hepatitis,5,0.005,10.000000703334809,4,7,0.961038961038961,0.8205128205128205
hepatitis,5,0.0025,10.00000011920929,4,8,0.948051948051948,0.7692307692307693
