dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,4,0.1,0.0037325421969095864,3,1,0.6420454545454545,0.6436781609195402
ionosphere,4,0.05,3.3967576106389363,3,3,0.8125,0.7816091954022989
ionosphere,4,0.01,10.000000751018524,3,5,0.8920454545454546,0.8850574712643678
ionosphere,4,0.005,10.000000977516175,3,5,0.8920454545454546,0.8850574712643678
ionosphere,4,0.0025,10.000000973542532,3,5,0.8920454545454546,0.8850574712643678
ionosphere,4,0.1,0.0041022221247355144,3,1,0.6420454545454545,0.6436781609195402
ionosphere,4,0.05,3.511131950219472,3,3,0.8125,0.7816091954022989
ionosphere,4,0.01,10.000000993410746,3,5,0.8920454545454546,0.8850574712643678
ionosphere,4,0.005,10.000000540415446,3,5,0.8920454545454546,0.8850574712643678
ionosphere,4,0.0025,10.00000077088674,3,5,0.8920454545454546,0.8850574712643678
