dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,3,0.1,0.0013056238492329916,3,2,0.7897727272727273,0.735632183908046
ionosphere,3,0.05,2.9113594770431517,3,3,0.8522727272727273,0.7241379310344828
ionosphere,3,0.01,10.000000516573587,3,5,0.9034090909090909,0.7816091954022989
ionosphere,3,0.005,10.00000058412552,3,5,0.9034090909090909,0.7816091954022989
ionosphere,3,0.0025,10.00000113248825,3,5,0.9034090909090909,0.7816091954022989
ionosphere,3,0.1,0.0013234297434488933,3,2,0.7897727272727273,0.735632183908046
ionosphere,3,0.05,2.934287937482198,3,3,0.8522727272727273,0.7241379310344828
ionosphere,3,0.01,10.00000019868215,3,5,0.9034090909090909,0.7816091954022989
ionosphere,3,0.005,10.000000282128651,3,5,0.9034090909090909,0.7816091954022989
ionosphere,3,0.0025,10.000000655651093,3,5,0.9034090909090909,0.7816091954022989
