dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
ionosphere,5,Not_Optimal,10.246841919422149,9,4,0.8863636363636364,0.8920454545454546,0.7586206896551724,0.8505747126436781
ionosphere,5,Not_Optimal,10.304498994350434,10,4,0.8863636363636364,0.9090909090909091,0.735632183908046,0.7931034482758621
ionosphere,5,Not_Optimal,10.292167182763418,11,4,0.8977272727272727,0.8863636363636364,0.7701149425287356,0.7586206896551724
ionosphere,5,Not_Optimal,10.34954297542572,12,4,0.8977272727272727,0.9090909090909091,0.7586206896551724,0.8160919540229885
ionosphere,5,Not_Optimal,10.401732448736826,13,4,0.9034090909090909,0.9034090909090909,0.7586206896551724,0.8045977011494253
ionosphere,5,Not_Optimal,10.502004516124725,14,4,0.9034090909090909,0.8977272727272727,0.7701149425287356,0.8045977011494253
ionosphere,5,Not_Optimal,10.496273438135782,15,4,0.9034090909090909,0.8920454545454546,0.7701149425287356,0.7586206896551724
ionosphere,5,Not_Optimal,10.582855931917827,16,4,0.9034090909090909,0.8977272727272727,0.7701149425287356,0.7931034482758621
ionosphere,5,Not_Optimal,10.11001901626587,5,4,0.8693181818181818,0.8693181818181818,0.8045977011494253,0.8620689655172413
ionosphere,5,Not_Optimal,10.156045973300934,6,4,0.8693181818181818,0.8636363636363636,0.8045977011494253,0.9195402298850575
ionosphere,5,Not_Optimal,10.166882789134979,7,4,0.8693181818181818,0.9034090909090909,0.8045977011494253,0.8275862068965517
ionosphere,5,Not_Optimal,10.219005930423737,8,4,0.8806818181818182,0.8977272727272727,0.8160919540229885,0.8505747126436781
