dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
wine,3,Optimal,0.26669957240422565,9,4,1.0,1.0,0.8863636363636364,0.9545454545454546
wine,3,Optimal,0.5677806655565898,10,4,1.0,1.0,0.8863636363636364,0.9090909090909091
wine,3,Optimal,1.3215610980987549,11,4,1.0,1.0,1.0,0.9090909090909091
wine,3,Optimal,3.3859722296396892,12,4,1.0,1.0,0.9772727272727273,0.8409090909090909
wine,3,Optimal,1.680491288503011,13,4,1.0,1.0,0.9090909090909091,0.8636363636363636
wine,3,Optimal,1.9982880353927612,14,4,1.0,1.0,1.0,0.9090909090909091
wine,3,Optimal,1.0832411885261535,15,4,1.0,1.0,0.9090909090909091,0.9318181818181818
wine,3,Not_Optimal,10.160567164421082,16,4,1.0,0.9887640449438202,0.9090909090909091,0.8636363636363636
wine,3,Optimal,1.6287630955378214,5,4,0.9550561797752809,0.9775280898876404,0.9090909090909091,0.9772727272727273
wine,3,Optimal,0.14088709354400636,6,4,0.9662921348314607,1.0,0.9090909090909091,0.9772727272727273
wine,3,Optimal,0.1694088578224182,7,4,1.0,1.0,0.9772727272727273,0.9545454545454546
wine,3,Optimal,0.2725997487703959,8,4,1.0,1.0,0.8863636363636364,0.9545454545454546
