dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
monk1,1,Optimal,0.1039054830869039,9,4,0.8795180722891566,1.0,0.7560975609756098,1.0
monk1,1,Optimal,0.26365555127461754,10,4,0.8795180722891566,1.0,0.7560975609756098,1.0
monk1,1,Optimal,0.6841219782829284,11,4,0.8795180722891566,1.0,0.7560975609756098,0.8780487804878049
monk1,1,Optimal,0.5704164147377014,12,4,0.8795180722891566,1.0,0.7560975609756098,0.9512195121951219
monk1,1,Optimal,1.5603918194770814,13,4,0.8795180722891566,1.0,0.7560975609756098,1.0
monk1,1,Optimal,3.713914962609609,14,4,0.8795180722891566,1.0,0.7560975609756098,1.0
monk1,1,Optimal,7.114522274335226,15,4,0.8795180722891566,1.0,0.7560975609756098,1.0
monk1,1,Not_Optimal,10.03925536473592,16,4,0.8795180722891566,0.9879518072289156,0.7560975609756098,0.8048780487804879
monk1,1,Optimal,2.912912146250407,5,4,0.8795180722891566,0.9156626506024096,0.7560975609756098,0.8292682926829268
monk1,1,Not_Optimal,10.011373325188954,6,4,0.8795180722891566,0.9397590361445783,0.7560975609756098,0.8292682926829268
monk1,1,Optimal,0.09504513740539551,7,4,0.8795180722891566,1.0,0.7560975609756098,1.0
monk1,1,Optimal,0.19152634143829345,8,4,0.8795180722891566,1.0,0.7560975609756098,1.0
