dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
car,5,Not_Optimal,10.127683965365092,6,3,0.8099078341013825,0.8191244239631337,0.8154205607476636,0.8177570093457944
car,5,Not_Optimal,10.154253880182901,7,3,0.8099078341013825,0.8191244239631337,0.8154205607476636,0.8177570093457944
car,5,Not_Optimal,10.16494389375051,8,3,0.8099078341013825,0.8145161290322581,0.8154205607476636,0.8014018691588785
car,5,Optimal,6.223418358961741,4,3,0.8099078341013825,0.8099078341013825,0.8154205607476636,0.8154205607476636
car,5,Not_Optimal,10.093131935596466,5,3,0.8099078341013825,0.8133640552995391,0.8154205607476636,0.8154205607476636
