dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
biodeg,4,Not_Optimal,10.566327508290609,9,4,0.8393194706994329,0.8241965973534972,0.8129770992366412,0.8320610687022901
biodeg,4,Not_Optimal,10.615576346715292,10,4,0.8487712665406427,0.8279773156899811,0.8091603053435115,0.8206106870229007
biodeg,4,Not_Optimal,10.712046500047048,11,4,0.8487712665406427,0.8355387523629489,0.8129770992366412,0.8358778625954199
biodeg,4,Not_Optimal,10.660538371404012,12,4,0.8487712665406427,0.8071833648393195,0.8129770992366412,0.7938931297709924
biodeg,4,Not_Optimal,11.068478655815124,13,4,0.8487712665406427,0.8241965973534972,0.8129770992366412,0.8129770992366412
biodeg,4,Not_Optimal,11.809321308135987,14,4,0.8544423440453687,0.8279773156899811,0.8129770992366412,0.8053435114503816
biodeg,4,Not_Optimal,12.60149696667989,15,4,0.8544423440453687,0.8052930056710775,0.8129770992366412,0.7633587786259542
biodeg,4,Not_Optimal,13.067785775661468,16,4,0.8544423440453687,0.8166351606805293,0.8129770992366412,0.7366412213740458
biodeg,4,Not_Optimal,10.338567793369293,5,4,0.8052930056710775,0.8374291115311909,0.8015267175572519,0.8129770992366412
biodeg,4,Not_Optimal,10.333507160345713,6,4,0.8052930056710775,0.8431001890359168,0.8015267175572519,0.8091603053435115
biodeg,4,Not_Optimal,10.417262077331543,7,4,0.8052930056710775,0.8468809073724007,0.8015267175572519,0.8206106870229007
biodeg,4,Not_Optimal,10.48070004383723,8,4,0.831758034026465,0.8374291115311909,0.7977099236641222,0.8053435114503816
