dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
iris,5,Optimal,1.3172725160916647,6,3,0.96,0.9733333333333334,0.918918918918919,0.9459459459459459
iris,5,Optimal,0.3384345610936483,7,3,0.96,0.9866666666666667,0.918918918918919,0.972972972972973
iris,5,Optimal,0.4901312589645386,8,3,0.96,0.9866666666666667,0.918918918918919,0.972972972972973
iris,5,Optimal,0.031871946652730306,4,3,0.96,0.96,0.918918918918919,0.8918918918918919
iris,5,Optimal,0.17827527125676473,5,3,0.96,0.9733333333333334,0.918918918918919,0.9459459459459459
