dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
seismic,4,Not_Optimal,10.267449887593587,9,4,0.9337442218798151,0.9352850539291218,0.934375,0.93125
seismic,4,Not_Optimal,10.335901240507761,10,4,0.9337442218798151,0.9352850539291218,0.934375,0.93125
seismic,4,Not_Optimal,10.36688890059789,11,4,0.9337442218798151,0.9345146379044684,0.934375,0.934375
seismic,4,Not_Optimal,10.414378794034322,12,4,0.9337442218798151,0.9352850539291218,0.934375,0.93125
seismic,4,Not_Optimal,10.48441077073415,13,4,0.9337442218798151,0.9345146379044684,0.934375,0.934375
seismic,4,Not_Optimal,10.529182827472686,14,4,0.9337442218798151,0.9345146379044684,0.934375,0.934375
seismic,4,Not_Optimal,10.579091159502665,15,4,0.9337442218798151,0.9345146379044684,0.934375,0.9328125
seismic,4,Not_Optimal,10.640181799729666,16,4,0.9337442218798151,0.9345146379044684,0.934375,0.9328125
seismic,4,Not_Optimal,10.168030667304993,5,4,0.9337442218798151,0.9345146379044684,0.934375,0.934375
seismic,4,Not_Optimal,10.186419526735941,6,4,0.9337442218798151,0.9345146379044684,0.934375,0.934375
seismic,4,Not_Optimal,10.237267367045085,7,4,0.9337442218798151,0.9352850539291218,0.934375,0.9328125
seismic,4,Not_Optimal,10.257692174116771,8,4,0.9337442218798151,0.9352850539291218,0.934375,0.93125
